element_type	osmid	building	newarea	peopleInDaHouse	allPeople	total	average	population
relation	7197602	house	258.93613551404536	66.0	220602.0	868177.8991569161	0.25287559175739827	219541
relation	7197603	house	259.78682935091945	66.0	220602.0	868177.8991569161	0.25287559175739827	219541
relation	7197604	house	232.60771277603416	59.0	220602.0	868177.8991569161	0.25287559175739827	219541
relation	7197605	house	183.67171977887	47.0	220602.0	868177.8991569161	0.25287559175739827	219541
relation	7197606	house	138.24800700592886	35.0	220602.0	868177.8991569161	0.25287559175739827	219541
relation	7197607	house	183.28072220255902	47.0	220602.0	868177.8991569161	0.25287559175739827	219541
relation	7197608	house	451.51243600177924	115.0	220602.0	868177.8991569161	0.25287559175739827	219541
relation	7197609	house	185.9864612290981	48.0	220602.0	868177.8991569161	0.25287559175739827	219541
relation	7197610	house	149.62215561196115	38.0	220602.0	868177.8991569161	0.25287559175739827	219541
relation	7197611	house	180.10202096387403	46.0	220602.0	868177.8991569161	0.25287559175739827	219541
relation	7197612	house	137.52638186331558	35.0	220602.0	868177.8991569161	0.25287559175739827	219541
relation	7197613	house	125.46860778804114	32.0	220602.0	868177.8991569161	0.25287559175739827	219541
relation	7197614	house	106.78650069391385	28.0	220602.0	868177.8991569161	0.25287559175739827	219541
relation	7197615	house	141.82931398676112	36.0	220602.0	868177.8991569161	0.25287559175739827	219541
relation	7197616	house	121.53282851474542	31.0	220602.0	868177.8991569161	0.25287559175739827	219541
relation	7197617	house	101.65440979251129	26.0	220602.0	868177.8991569161	0.25287559175739827	219541
relation	7197618	house	108.92711818268985	28.0	220602.0	868177.8991569161	0.25287559175739827	219541
relation	7197619	house	110.44331977493269	28.0	220602.0	868177.8991569161	0.25287559175739827	219541
relation	7197620	house	117.36148324635207	30.0	220602.0	868177.8991569161	0.25287559175739827	219541
relation	7197621	house	115.24304899798463	30.0	220602.0	868177.8991569161	0.25287559175739827	219541
relation	7197622	house	116.87692213772904	30.0	220602.0	868177.8991569161	0.25287559175739827	219541
relation	7197623	house	100.47379152881376	26.0	220602.0	868177.8991569161	0.25287559175739827	219541
relation	7197624	house	255.30574433593424	65.0	220602.0	868177.8991569161	0.25287559175739827	219541
relation	7197625	house	241.22093694667873	61.0	220602.0	868177.8991569161	0.25287559175739827	219541
relation	7197626	house	246.2694048564741	63.0	220602.0	868177.8991569161	0.25287559175739827	219541
relation	7197627	house	112.72548225757663	29.0	220602.0	868177.8991569161	0.25287559175739827	219541
relation	7197628	house	132.70860751279022	34.0	220602.0	868177.8991569161	0.25287559175739827	219541
relation	7197629	house	100.57245967034925	26.0	220602.0	868177.8991569161	0.25287559175739827	219541
relation	7197630	house	183.91710621483298	47.0	220602.0	868177.8991569161	0.25287559175739827	219541
relation	7197631	house	175.8091447479575	45.0	220602.0	868177.8991569161	0.25287559175739827	219541
relation	7197632	house	175.03248338073237	45.0	220602.0	868177.8991569161	0.25287559175739827	219541
relation	7197633	house	147.93154069412148	38.0	220602.0	868177.8991569161	0.25287559175739827	219541
relation	7197634	house	145.99008551497573	37.0	220602.0	868177.8991569161	0.25287559175739827	219541
relation	7197635	house	149.1441327687498	38.0	220602.0	868177.8991569161	0.25287559175739827	219541
relation	7197636	house	60.960056844982745	16.0	220602.0	868177.8991569161	0.25287559175739827	219541
relation	7197637	house	91.6539060286363	24.0	220602.0	868177.8991569161	0.25287559175739827	219541
relation	7197638	house	90.42013197479082	23.0	220602.0	868177.8991569161	0.25287559175739827	219541
relation	7197639	house	125.94802799972032	32.0	220602.0	868177.8991569161	0.25287559175739827	219541
relation	7197640	house	94.82448463632356	24.0	220602.0	868177.8991569161	0.25287559175739827	219541
relation	7197641	house	63.068762807414714	16.0	220602.0	868177.8991569161	0.25287559175739827	219541
relation	7197642	house	61.53787732688505	16.0	220602.0	868177.8991569161	0.25287559175739827	219541
relation	7197643	house	93.22852573280935	24.0	220602.0	868177.8991569161	0.25287559175739827	219541
relation	7197644	house	71.56955951384668	19.0	220602.0	868177.8991569161	0.25287559175739827	219541
relation	7197645	house	58.23219208317735	15.0	220602.0	868177.8991569161	0.25287559175739827	219541
relation	7197646	house	75.05121466877696	19.0	220602.0	868177.8991569161	0.25287559175739827	219541
relation	7197647	house	90.16867459796858	23.0	220602.0	868177.8991569161	0.25287559175739827	219541
relation	7197648	house	72.27897456725862	19.0	220602.0	868177.8991569161	0.25287559175739827	219541
relation	7197649	house	81.83856753056526	21.0	220602.0	868177.8991569161	0.25287559175739827	219541
relation	7197650	house	187.47904486514759	48.0	220602.0	868177.8991569161	0.25287559175739827	219541
relation	7199920	house	286.9497887849466	73.0	220602.0	868177.8991569161	0.25287559175739827	219541
relation	7199921	house	259.03731387029904	66.0	220602.0	868177.8991569161	0.25287559175739827	219541
relation	7199922	house	235.82387561902567	60.0	220602.0	868177.8991569161	0.25287559175739827	219541
relation	7199923	house	167.95649720850835	43.0	220602.0	868177.8991569161	0.25287559175739827	219541
relation	7199924	house	310.1917350377182	79.0	220602.0	868177.8991569161	0.25287559175739827	219541
relation	7199925	house	466.6381259523182	119.0	220602.0	868177.8991569161	0.25287559175739827	219541
relation	7199926	house	370.5555791175303	94.0	220602.0	868177.8991569161	0.25287559175739827	219541
relation	7199927	house	339.5941912078635	86.0	220602.0	868177.8991569161	0.25287559175739827	219541
relation	7199928	house	247.2556827775838	63.0	220602.0	868177.8991569161	0.25287559175739827	219541
relation	7199929	house	507.62612101976896	129.0	220602.0	868177.8991569161	0.25287559175739827	219541
relation	7199930	house	318.24961375019024	81.0	220602.0	868177.8991569161	0.25287559175739827	219541
relation	7199931	house	241.61608438932078	62.0	220602.0	868177.8991569161	0.25287559175739827	219541
relation	7199932	house	326.5459266561321	83.0	220602.0	868177.8991569161	0.25287559175739827	219541
relation	7199933	house	490.64530445450566	125.0	220602.0	868177.8991569161	0.25287559175739827	219541
relation	7199934	house	379.98087034780264	97.0	220602.0	868177.8991569161	0.25287559175739827	219541
relation	7199935	house	272.2576143932036	69.0	220602.0	868177.8991569161	0.25287559175739827	219541
relation	7199936	house	389.38620817453403	99.0	220602.0	868177.8991569161	0.25287559175739827	219541
relation	7199937	house	299.39669695565414	76.0	220602.0	868177.8991569161	0.25287559175739827	219541
relation	7199938	house	277.0363163236757	71.0	220602.0	868177.8991569161	0.25287559175739827	219541
