element_type	osmid	building	newarea	peopleInDaHouse	allPeople	total	average	population
way	277548798	yes	9579.517744273606	15520.0	65662.0	40521.871411901964	1.620038702869936	65647
way	277548799	yes	173.68488029054913	282.0	65662.0	40521.871411901964	1.620038702869936	65647
way	277548800	yes	177.44487807494886	288.0	65662.0	40521.871411901964	1.620038702869936	65647
way	277548801	yes	7298.648585693902	11825.0	65662.0	40521.871411901964	1.620038702869936	65647
way	277548802	yes	7960.642271220203	12897.0	65662.0	40521.871411901964	1.620038702869936	65647
way	277548803	yes	121.02367303478525	197.0	65662.0	40521.871411901964	1.620038702869936	65647
way	277548804	yes	390.95976245525753	634.0	65662.0	40521.871411901964	1.620038702869936	65647
way	277548805	yes	561.2835152136213	910.0	65662.0	40521.871411901964	1.620038702869936	65647
way	277548806	yes	939.038592234432	1522.0	65662.0	40521.871411901964	1.620038702869936	65647
way	277548810	yes	586.593883636733	951.0	65662.0	40521.871411901964	1.620038702869936	65647
way	277548812	yes	248.31953662101597	403.0	65662.0	40521.871411901964	1.620038702869936	65647
way	277548813	yes	420.0468400229219	681.0	65662.0	40521.871411901964	1.620038702869936	65647
way	277548814	yes	1833.4180348565176	2971.0	65662.0	40521.871411901964	1.620038702869936	65647
way	277548815	yes	725.3509150235317	1176.0	65662.0	40521.871411901964	1.620038702869936	65647
way	277548817	yes	889.6749149714364	1442.0	65662.0	40521.871411901964	1.620038702869936	65647
way	277548818	yes	535.1763517567646	868.0	65662.0	40521.871411901964	1.620038702869936	65647
way	277548819	yes	1111.4837238362093	1801.0	65662.0	40521.871411901964	1.620038702869936	65647
way	277548820	yes	3749.954523718746	6076.0	65662.0	40521.871411901964	1.620038702869936	65647
way	277548821	yes	72.26320091958625	118.0	65662.0	40521.871411901964	1.620038702869936	65647
way	277548822	yes	2000.8290958164116	3242.0	65662.0	40521.871411901964	1.620038702869936	65647
way	277548823	yes	805.2644762970274	1305.0	65662.0	40521.871411901964	1.620038702869936	65647
way	277548824	yes	341.252011933749	553.0	65662.0	40521.871411901964	1.620038702869936	65647
