element_type	osmid	building	newarea	peopleInDaHouse	allPeople	total	average	population
way	520361105	industrial	269.7998314077918	5.0	55417.0	3058661.425986871	0.017104541076533183	52317
way	520361258	industrial	333.24901601216635	6.0	55417.0	3058661.425986871	0.017104541076533183	52317
way	520361289	industrial	308.91430956701686	6.0	55417.0	3058661.425986871	0.017104541076533183	52317
way	520361310	industrial	319.7698074408071	6.0	55417.0	3058661.425986871	0.017104541076533183	52317
way	520361315	industrial	319.9680517668544	6.0	55417.0	3058661.425986871	0.017104541076533183	52317
way	520361361	industrial	331.0749390949739	6.0	55417.0	3058661.425986871	0.017104541076533183	52317
way	520361577	industrial	494.7585463777808	9.0	55417.0	3058661.425986871	0.017104541076533183	52317
way	786501696	yes	342.14124567172945	6.0	55417.0	3058661.425986871	0.017104541076533183	52317
way	786501697	yes	342.17304805660035	6.0	55417.0	3058661.425986871	0.017104541076533183	52317
way	786501698	yes	342.0648396364986	6.0	55417.0	3058661.425986871	0.017104541076533183	52317
way	786501699	yes	342.06665841582947	6.0	55417.0	3058661.425986871	0.017104541076533183	52317
way	786501700	yes	123.70127311998239	3.0	55417.0	3058661.425986871	0.017104541076533183	52317
way	786501701	yes	383.49222449874554	7.0	55417.0	3058661.425986871	0.017104541076533183	52317
way	786501702	yes	160.75697494146073	3.0	55417.0	3058661.425986871	0.017104541076533183	52317
way	786501703	yes	274.6895875940476	5.0	55417.0	3058661.425986871	0.017104541076533183	52317
way	786501704	yes	261.06320511440447	5.0	55417.0	3058661.425986871	0.017104541076533183	52317
way	786501705	yes	550.3059051900498	10.0	55417.0	3058661.425986871	0.017104541076533183	52317
way	786501706	yes	302.2458698038137	6.0	55417.0	3058661.425986871	0.017104541076533183	52317
way	786501707	yes	622.8948070179488	11.0	55417.0	3058661.425986871	0.017104541076533183	52317
way	786501708	yes	1754.791048809194	31.0	55417.0	3058661.425986871	0.017104541076533183	52317
way	786501709	yes	753.0790796575029	13.0	55417.0	3058661.425986871	0.017104541076533183	52317
way	786501710	yes	898.2014476067013	16.0	55417.0	3058661.425986871	0.017104541076533183	52317
way	786501711	yes	216.09939078787517	4.0	55417.0	3058661.425986871	0.017104541076533183	52317
way	786501712	yes	277.66646770822746	5.0	55417.0	3058661.425986871	0.017104541076533183	52317
way	786501713	yes	752.896791114295	13.0	55417.0	3058661.425986871	0.017104541076533183	52317
way	786501714	yes	652.8645803499315	12.0	55417.0	3058661.425986871	0.017104541076533183	52317
way	786501715	yes	621.452061359974	11.0	55417.0	3058661.425986871	0.017104541076533183	52317
way	786501716	yes	983.0664450093899	17.0	55417.0	3058661.425986871	0.017104541076533183	52317
way	786501717	yes	621.6096469820701	11.0	55417.0	3058661.425986871	0.017104541076533183	52317
way	786501718	yes	685.5517719144505	12.0	55417.0	3058661.425986871	0.017104541076533183	52317
way	786501719	yes	283.699360516261	5.0	55417.0	3058661.425986871	0.017104541076533183	52317
way	786501720	yes	113.46494449178124	2.0	55417.0	3058661.425986871	0.017104541076533183	52317
way	786501721	yes	221.3602829881759	4.0	55417.0	3058661.425986871	0.017104541076533183	52317
way	786501722	yes	58.94793986195712	2.0	55417.0	3058661.425986871	0.017104541076533183	52317
way	786501723	yes	1003.1611534442319	18.0	55417.0	3058661.425986871	0.017104541076533183	52317
way	786501724	yes	83.15872138866135	2.0	55417.0	3058661.425986871	0.017104541076533183	52317
way	786501725	yes	237.7831712882999	5.0	55417.0	3058661.425986871	0.017104541076533183	52317
way	786501726	yes	126.82558986663764	3.0	55417.0	3058661.425986871	0.017104541076533183	52317
way	786501727	yes	44.00429559316956	1.0	55417.0	3058661.425986871	0.017104541076533183	52317
way	786501728	yes	44.004269751028666	1.0	55417.0	3058661.425986871	0.017104541076533183	52317
way	786501729	yes	44.07324622333226	1.0	55417.0	3058661.425986871	0.017104541076533183	52317
way	786501730	yes	44.00421867490399	1.0	55417.0	3058661.425986871	0.017104541076533183	52317
way	786501731	yes	44.004186955637124	1.0	55417.0	3058661.425986871	0.017104541076533183	52317
way	786501732	yes	44.00418319242392	1.0	55417.0	3058661.425986871	0.017104541076533183	52317
way	786501733	yes	44.00306824869569	1.0	55417.0	3058661.425986871	0.017104541076533183	52317
node	5644325888	bunker	0.0	0.0	55417.0	3058661.425986871	0.017104541076533183	52317
node	5644325889	bunker	0.0	0.0	55417.0	3058661.425986871	0.017104541076533183	52317
node	5644325890	bunker	0.0	0.0	55417.0	3058661.425986871	0.017104541076533183	52317
node	5644325891	bunker	0.0	0.0	55417.0	3058661.425986871	0.017104541076533183	52317
node	5644326049	bunker	0.0	0.0	55417.0	3058661.425986871	0.017104541076533183	52317
node	5644326060	bunker	0.0	0.0	55417.0	3058661.425986871	0.017104541076533183	52317
node	5644326061	bunker	0.0	0.0	55417.0	3058661.425986871	0.017104541076533183	52317
node	5644326062	bunker	0.0	0.0	55417.0	3058661.425986871	0.017104541076533183	52317
node	5644326299	bunker	0.0	0.0	55417.0	3058661.425986871	0.017104541076533183	52317
