element_type	osmid	building	newarea	peopleInDaHouse	allPeople	total	average	population
way	938864733	yes	111.04458080967626	111.0	36150.0	36301.95557017714	0.9947948928037262	36113
way	938864734	hospital	758.1806728316793	755.0	36150.0	36301.95557017714	0.9947948928037262	36113
way	938864735	hospital	227.59002718347637	227.0	36150.0	36301.95557017714	0.9947948928037262	36113
way	938864736	hospital	412.8871644257232	411.0	36150.0	36301.95557017714	0.9947948928037262	36113
way	938864737	hospital	913.4470870892742	909.0	36150.0	36301.95557017714	0.9947948928037262	36113
way	938864738	hospital	1436.010901215056	1429.0	36150.0	36301.95557017714	0.9947948928037262	36113
way	938864739	yes	26.88038056240038	27.0	36150.0	36301.95557017714	0.9947948928037262	36113
way	938864740	yes	61.54753988840199	62.0	36150.0	36301.95557017714	0.9947948928037262	36113
way	938864743	yes	65.51815505459234	66.0	36150.0	36301.95557017714	0.9947948928037262	36113
way	938864749	yes	38.426161570146895	39.0	36150.0	36301.95557017714	0.9947948928037262	36113
way	938864750	hospital	175.06121758967663	175.0	36150.0	36301.95557017714	0.9947948928037262	36113
way	940733018	yes	853.5744680369269	850.0	36150.0	36301.95557017714	0.9947948928037262	36113
way	940733029	yes	95.44149715090246	95.0	36150.0	36301.95557017714	0.9947948928037262	36113
way	965370910	yes	239.57801705293951	239.0	36150.0	36301.95557017714	0.9947948928037262	36113
way	965370912	yes	39.695382017189274	40.0	36150.0	36301.95557017714	0.9947948928037262	36113
way	965370916	yes	40.48290206489117	41.0	36150.0	36301.95557017714	0.9947948928037262	36113
way	965370919	yes	449.81136131807386	448.0	36150.0	36301.95557017714	0.9947948928037262	36113
way	965370921	yes	139.78750491221464	140.0	36150.0	36301.95557017714	0.9947948928037262	36113
way	965370922	yes	65.40300937981081	66.0	36150.0	36301.95557017714	0.9947948928037262	36113
way	965370924	yes	305.4386893266261	304.0	36150.0	36301.95557017714	0.9947948928037262	36113
way	965370925	yes	57.89465215107852	58.0	36150.0	36301.95557017714	0.9947948928037262	36113
way	965370932	yes	132.30966566940987	132.0	36150.0	36301.95557017714	0.9947948928037262	36113
way	965370933	yes	40.854165978382305	41.0	36150.0	36301.95557017714	0.9947948928037262	36113
way	965370934	yes	277.22851896536133	276.0	36150.0	36301.95557017714	0.9947948928037262	36113
way	965370935	yes	242.8843003349167	242.0	36150.0	36301.95557017714	0.9947948928037262	36113
way	965370936	yes	354.2157746054247	353.0	36150.0	36301.95557017714	0.9947948928037262	36113
way	965370937	yes	216.51276450883677	216.0	36150.0	36301.95557017714	0.9947948928037262	36113
way	965370938	yes	282.70656857801424	282.0	36150.0	36301.95557017714	0.9947948928037262	36113
way	965370939	yes	57.59624817977246	58.0	36150.0	36301.95557017714	0.9947948928037262	36113
way	965370945	yes	1244.1177469883767	1238.0	36150.0	36301.95557017714	0.9947948928037262	36113
way	965370947	yes	699.2914371420691	696.0	36150.0	36301.95557017714	0.9947948928037262	36113
way	965370948	yes	195.52547292592863	195.0	36150.0	36301.95557017714	0.9947948928037262	36113
way	965370950	ruins	379.23791187967817	378.0	36150.0	36301.95557017714	0.9947948928037262	36113
way	965370951	construction	1329.552107847001	1323.0	36150.0	36301.95557017714	0.9947948928037262	36113
way	974127806	ruins	200.71666151993384	200.0	36150.0	36301.95557017714	0.9947948928037262	36113
way	974658473	school	331.820162433557	331.0	36150.0	36301.95557017714	0.9947948928037262	36113
way	974658474	school	413.75851664444303	412.0	36150.0	36301.95557017714	0.9947948928037262	36113
way	974658475	school	385.6191336856244	384.0	36150.0	36301.95557017714	0.9947948928037262	36113
way	974658478	yes	168.96071746467112	169.0	36150.0	36301.95557017714	0.9947948928037262	36113
way	975292072	school	568.9517730224046	566.0	36150.0	36301.95557017714	0.9947948928037262	36113
way	975292073	school	363.941366159408	363.0	36150.0	36301.95557017714	0.9947948928037262	36113
way	975292074	yes	5502.132322346301	5474.0	36150.0	36301.95557017714	0.9947948928037262	36113
way	975470966	yes	332.9991732995189	332.0	36150.0	36301.95557017714	0.9947948928037262	36113
