element_type	osmid	building	newarea	peopleInDaHouse	allPeople	total	average	population
node	5274569937	bunker	0.0	0.0	5321.0	17738.515818468783	0.29917948346470563	5307
node	5274569938	bunker	0.0	0.0	5321.0	17738.515818468783	0.29917948346470563	5307
node	5274569939	bunker	0.0	0.0	5321.0	17738.515818468783	0.29917948346470563	5307
node	5274569940	bunker	0.0	0.0	5321.0	17738.515818468783	0.29917948346470563	5307
node	5274569941	bunker	0.0	0.0	5321.0	17738.515818468783	0.29917948346470563	5307
node	5274569942	bunker	0.0	0.0	5321.0	17738.515818468783	0.29917948346470563	5307
node	5274569943	bunker	0.0	0.0	5321.0	17738.515818468783	0.29917948346470563	5307
node	5274569944	bunker	0.0	0.0	5321.0	17738.515818468783	0.29917948346470563	5307
node	5274569945	bunker	0.0	0.0	5321.0	17738.515818468783	0.29917948346470563	5307
node	5274569946	bunker	0.0	0.0	5321.0	17738.515818468783	0.29917948346470563	5307
node	5274570436	bunker	0.0	0.0	5321.0	17738.515818468783	0.29917948346470563	5307
node	5274570526	bunker	0.0	0.0	5321.0	17738.515818468783	0.29917948346470563	5307
node	5274570626	bunker	0.0	0.0	5321.0	17738.515818468783	0.29917948346470563	5307
node	5274570627	bunker	0.0	0.0	5321.0	17738.515818468783	0.29917948346470563	5307
way	103125602	yes	100.039199329586	30.0	5321.0	17738.515818468783	0.29917948346470563	5307
way	103125609	yes	76.70662591580086	23.0	5321.0	17738.515818468783	0.29917948346470563	5307
way	103125625	yes	63.197958435567145	19.0	5321.0	17738.515818468783	0.29917948346470563	5307
way	103125630	yes	16.114333830646565	5.0	5321.0	17738.515818468783	0.29917948346470563	5307
way	103125632	yes	16.114452782995954	5.0	5321.0	17738.515818468783	0.29917948346470563	5307
way	103125640	yes	51.450270986122334	16.0	5321.0	17738.515818468783	0.29917948346470563	5307
way	103125641	yes	81.7991365238869	25.0	5321.0	17738.515818468783	0.29917948346470563	5307
way	103125664	yes	16.14880269187181	5.0	5321.0	17738.515818468783	0.29917948346470563	5307
way	103125705	yes	73.94841706031218	23.0	5321.0	17738.515818468783	0.29917948346470563	5307
way	103125725	yes	153.01037278806012	46.0	5321.0	17738.515818468783	0.29917948346470563	5307
way	103125739	yes	16.148674561540346	5.0	5321.0	17738.515818468783	0.29917948346470563	5307
way	103125744	yes	41.626759992251685	13.0	5321.0	17738.515818468783	0.29917948346470563	5307
way	103125746	yes	310.76922440895424	93.0	5321.0	17738.515818468783	0.29917948346470563	5307
way	103125780	yes	215.25167074294149	65.0	5321.0	17738.515818468783	0.29917948346470563	5307
way	103125786	yes	28.40298795250407	9.0	5321.0	17738.515818468783	0.29917948346470563	5307
way	103125891	yes	342.9039788970514	103.0	5321.0	17738.515818468783	0.29917948346470563	5307
way	103125894	yes	105.60255909078509	32.0	5321.0	17738.515818468783	0.29917948346470563	5307
way	103656750	yes	1279.900242950243	383.0	5321.0	17738.515818468783	0.29917948346470563	5307
way	103661617	yes	5095.04885056332	1525.0	5321.0	17738.515818468783	0.29917948346470563	5307
way	103661804	yes	4266.150486926014	1277.0	5321.0	17738.515818468783	0.29917948346470563	5307
way	103661867	yes	1525.6672731543767	457.0	5321.0	17738.515818468783	0.29917948346470563	5307
way	103661935	yes	501.1554673534645	150.0	5321.0	17738.515818468783	0.29917948346470563	5307
way	128282198	yes	1183.980961360634	355.0	5321.0	17738.515818468783	0.29917948346470563	5307
way	509690970	yes	201.73211972442888	61.0	5321.0	17738.515818468783	0.29917948346470563	5307
way	509690974	yes	721.0103495336002	216.0	5321.0	17738.515818468783	0.29917948346470563	5307
way	509690977	yes	187.76954268110728	57.0	5321.0	17738.515818468783	0.29917948346470563	5307
way	509690979	roof	167.7428273908427	51.0	5321.0	17738.515818468783	0.29917948346470563	5307
way	509690991	yes	44.55191740242333	14.0	5321.0	17738.515818468783	0.29917948346470563	5307
way	509690992	yes	46.81941487856059	15.0	5321.0	17738.515818468783	0.29917948346470563	5307
way	509690997	yes	349.5361188714732	105.0	5321.0	17738.515818468783	0.29917948346470563	5307
way	509691003	yes	458.21481968741057	138.0	5321.0	17738.515818468783	0.29917948346470563	5307
